,comarca,nome_area_acao,ano_ref,Distribuidos_ano,Baixados_ano,Pendentes_ano,Taxa_Cong_anual (%)
1822,GOIÂNIA,upj criminal,2021,871,1315,536,28.96
1823,GOIÂNIA,upj custodia,2021,10,32,6,15.79
1824,GOIÂNIA,upj de violencia domestica,2021,5901,10138,4306,29.81
1825,GOIÂNIA,upj familia,2021,10908,11371,8066,41.5
1826,GOIÂNIA,upj juizado especial da fazenda publica,2021,16821,26242,13266,33.58
1827,GOIÂNIA,upj sucessoes,2021,2433,2099,2226,51.47
1828,GOIÂNIA,upj turma recursal,2021,22604,32450,10389,24.25
1829,GUAPÓ,civel,2021,542,606,489,44.66
1830,GUAPÓ,criminal,2021,736,1172,483,29.18
1831,GUAPÓ,execucao penal,2021,30,57,30,34.48
1832,GUAPÓ,familia - interior,2021,336,553,277,33.37
1833,GUAPÓ,fazenda publica mista,2021,206,1300,157,10.78
1834,GUAPÓ,infancia e juventude civel,2021,27,35,18,33.96
1835,GUAPÓ,infancia e juventude infracional,2021,37,74,26,26.0
1836,GUAPÓ,juizado especial civel,2021,264,544,199,26.78
1837,GUAPÓ,juizado especial criminal,2021,189,153,138,47.42
1838,GUAPÓ,juizado especial fazenda publica,2021,124,56,95,62.91
1839,GUAPÓ,preprocessual,2021,116,131,14,9.66
1840,HIDROLÂNDIA,civel,2021,308,248,286,53.56
1841,HIDROLÂNDIA,criminal,2021,247,344,200,36.76
1842,HIDROLÂNDIA,execucao penal,2021,56,19,55,74.32
1843,HIDROLÂNDIA,familia - interior,2021,268,264,213,44.65
1844,HIDROLÂNDIA,fazenda publica mista,2021,65,165,62,27.31
1845,HIDROLÂNDIA,infancia e juventude civel,2021,19,43,7,14.0
1846,HIDROLÂNDIA,infancia e juventude infracional,2021,16,107,12,10.08
1847,HIDROLÂNDIA,juizado especial civel,2021,225,278,196,41.35
1848,HIDROLÂNDIA,juizado especial criminal,2021,192,59,191,76.4
1849,HIDROLÂNDIA,juizado especial fazenda publica,2021,63,1,62,98.41
1850,IACIARA,civel,2021,93,129,65,33.51
1851,IACIARA,criminal,2021,251,320,188,37.01
1852,IACIARA,execucao penal,2021,7,16,6,27.27
1853,IACIARA,familia - interior,2021,122,137,83,37.73
1854,IACIARA,fazenda publica mista,2021,132,276,129,31.85
1855,IACIARA,infancia e juventude infracional,2021,3,6,1,14.29
1856,IACIARA,juizado especial civel,2021,100,94,80,45.98
1857,IACIARA,juizado especial criminal,2021,22,33,18,35.29
1858,IACIARA,juizado especial fazenda publica,2021,32,0,32,100.0
1859,INHUMAS,civel,2021,757,882,663,42.91
1860,INHUMAS,criminal,2021,652,434,475,52.26
1861,INHUMAS,execucao penal,2021,59,89,45,33.58
1862,INHUMAS,familia - interior,2021,615,674,410,37.82
1863,INHUMAS,fazenda publica mista,2021,1149,1851,999,35.05
1864,INHUMAS,infancia e juventude civel,2021,52,51,36,41.38
1865,INHUMAS,infancia e juventude infracional,2021,18,53,13,19.7
1866,INHUMAS,juizado especial civel,2021,1204,1703,1017,37.39
1867,INHUMAS,juizado especial criminal,2021,249,145,232,61.54
1868,INHUMAS,juizado especial fazenda publica,2021,217,24,211,89.79
1869,IPAMERI,civel,2021,329,730,213,22.59
1870,IPAMERI,criminal,2021,584,1187,296,19.96
1871,IPAMERI,execucao penal,2021,107,42,98,70.0
1872,IPAMERI,familia - interior,2021,433,561,231,29.17
1873,IPAMERI,fazenda publica mista,2021,385,1355,234,14.73
1874,IPAMERI,infancia e juventude civel,2021,21,31,6,16.22
1875,IPAMERI,infancia e juventude infracional,2021,17,60,9,13.04
1876,IPAMERI,juizado especial civel,2021,1184,1991,667,25.09
1877,IPAMERI,juizado especial criminal,2021,271,270,182,40.27
1878,IPAMERI,juizado especial fazenda publica,2021,123,74,82,52.56
1879,IPAMERI,preprocessual,2021,7,1,6,85.71
1880,IPORÁ,civel,2021,401,666,305,31.41
1881,IPORÁ,criminal,2021,705,1181,427,26.55
1882,IPORÁ,execucao penal,2021,114,66,111,62.71
1883,IPORÁ,familia - interior,2021,501,584,333,36.31
1884,IPORÁ,fazenda publica mista,2021,759,1191,669,35.97
1885,IPORÁ,infancia e juventude civel,2021,33,49,21,30.0
1886,IPORÁ,infancia e juventude infracional,2021,22,39,19,32.76
1887,IPORÁ,juizado especial civel,2021,565,686,409,37.35
1888,IPORÁ,juizado especial criminal,2021,358,84,355,80.87
1889,IPORÁ,juizado especial fazenda publica,2021,256,135,149,52.46
1890,IPORÁ,preprocessual,2021,70,89,13,12.75
1891,ISRAELÂNDIA,civel,2021,34,45,30,40.0
1892,ISRAELÂNDIA,criminal,2021,120,142,94,39.83
1893,ISRAELÂNDIA,execucao penal,2021,12,8,12,60.0
1894,ISRAELÂNDIA,familia - interior,2021,49,34,41,54.67
1895,ISRAELÂNDIA,fazenda publica mista,2021,44,103,41,28.47
1896,ISRAELÂNDIA,infancia e juventude civel,2021,2,2,1,33.33
1897,ISRAELÂNDIA,infancia e juventude infracional,2021,16,4,16,80.0
1898,ISRAELÂNDIA,juizado especial civel,2021,80,80,40,33.33
1899,ISRAELÂNDIA,juizado especial criminal,2021,65,29,52,64.2
1900,ISRAELÂNDIA,juizado especial fazenda publica,2021,62,6,58,90.62
1901,ITABERAÍ,civel,2021,619,620,523,45.76
1902,ITABERAÍ,criminal,2021,946,1360,526,27.89
1903,ITABERAÍ,execucao penal,2021,71,48,70,59.32
1904,ITABERAÍ,familia - interior,2021,382,428,273,38.94
1905,ITABERAÍ,fazenda publica mista,2021,561,513,548,51.65
1906,ITABERAÍ,infancia e juventude civel,2021,29,52,9,14.75
1907,ITABERAÍ,infancia e juventude infracional,2021,73,84,62,42.47
1908,ITABERAÍ,juizado especial civel,2021,933,1333,627,31.99
1909,ITABERAÍ,juizado especial criminal,2021,673,988,445,31.05
1910,ITABERAÍ,juizado especial fazenda publica,2021,180,7,178,96.22
1911,ITABERAÍ,preprocessual,2021,272,269,47,14.87
1912,ITAGUARU,civel,2021,41,68,33,32.67
1913,ITAGUARU,criminal,2021,70,84,47,35.88
1914,ITAGUARU,execucao penal,2021,9,6,9,60.0
1915,ITAGUARU,familia - interior,2021,96,105,55,34.38
1916,ITAGUARU,fazenda publica mista,2021,115,164,96,36.92
1917,ITAGUARU,infancia e juventude infracional,2021,4,4,2,33.33
1918,ITAGUARU,juizado especial civel,2021,37,64,16,20.0
1919,ITAGUARU,juizado especial criminal,2021,43,75,24,24.24
1920,ITAGUARU,juizado especial fazenda publica,2021,18,5,15,75.0
1921,ITAJÁ,civel,2021,286,842,220,20.72
1922,ITAJÁ,criminal,2021,164,234,105,30.97
1923,ITAJÁ,execucao penal,2021,19,29,18,38.3
1924,ITAJÁ,familia - interior,2021,122,191,92,32.51
1925,ITAJÁ,fazenda publica mista,2021,179,226,153,40.37
1926,ITAJÁ,infancia e juventude civel,2021,31,42,28,40.0
1927,ITAJÁ,infancia e juventude infracional,2021,6,17,6,26.09
1928,ITAJÁ,juizado especial civel,2021,79,135,59,30.41
1929,ITAJÁ,juizado especial criminal,2021,50,25,48,65.75
1930,ITAJÁ,juizado especial fazenda publica,2021,20,5,20,80.0
1931,ITAPACI,civel,2021,275,364,240,39.74
1932,ITAPACI,criminal,2021,245,505,134,20.97
1933,ITAPACI,execucao penal,2021,6,39,6,13.33
1934,ITAPACI,familia - interior,2021,266,444,185,29.41
1935,ITAPACI,fazenda publica mista,2021,384,521,332,38.92
1936,ITAPACI,infancia e juventude civel,2021,7,12,6,33.33
1937,ITAPACI,infancia e juventude infracional,2021,7,17,4,19.05
1938,ITAPACI,juizado especial civel,2021,528,466,456,49.46
1939,ITAPACI,juizado especial criminal,2021,89,907,79,8.01
1940,ITAPACI,juizado especial fazenda publica,2021,170,125,151,54.71
1941,ITAPIRAPUÃ,civel,2021,262,198,245,55.3
1942,ITAPIRAPUÃ,criminal,2021,161,149,148,49.83
1943,ITAPIRAPUÃ,familia - interior,2021,118,100,109,52.15
1944,ITAPIRAPUÃ,fazenda publica mista,2021,243,177,233,56.83
1945,ITAPIRAPUÃ,infancia e juventude civel,2021,2,5,2,28.57
1946,ITAPIRAPUÃ,infancia e juventude infracional,2021,8,12,7,36.84
1947,ITAPIRAPUÃ,juizado especial civel,2021,174,227,157,40.89
1948,ITAPIRAPUÃ,juizado especial criminal,2021,35,18,35,66.04
1949,ITAPIRAPUÃ,juizado especial fazenda publica,2021,61,7,58,89.23
1950,ITAPURANGA,civel,2021,262,500,213,29.87
1951,ITAPURANGA,criminal,2021,535,429,406,48.62
1952,ITAPURANGA,execucao penal,2021,36,29,36,55.38
1953,ITAPURANGA,familia - interior,2021,342,406,243,37.44
1954,ITAPURANGA,fazenda publica mista,2021,720,792,669,45.79
1955,ITAPURANGA,infancia e juventude civel,2021,13,17,5,22.73
1956,ITAPURANGA,infancia e juventude infracional,2021,29,47,24,33.8
1957,ITAPURANGA,juizado especial civel,2021,460,481,339,41.34
1958,ITAPURANGA,juizado especial criminal,2021,257,84,230,73.25
1959,ITAPURANGA,juizado especial fazenda publica,2021,207,31,200,86.58
1960,ITAUÇU,civel,2021,56,147,50,25.38
1961,ITAUÇU,criminal,2021,81,229,64,21.84
1962,ITAUÇU,execucao penal,2021,7,14,6,30.0
1963,ITAUÇU,familia - interior,2021,66,80,58,42.03
1964,ITAUÇU,fazenda publica mista,2021,93,329,87,20.91
1965,ITAUÇU,infancia e juventude civel,2021,1,1,1,50.0
1966,ITAUÇU,infancia e juventude infracional,2021,2,11,2,15.38
1967,ITAUÇU,juizado especial civel,2021,59,201,51,20.24
1968,ITAUÇU,juizado especial criminal,2021,25,20,25,55.56
1969,ITAUÇU,juizado especial fazenda publica,2021,19,2,17,89.47
1970,ITUMBIARA,civel,2021,2166,2314,1806,43.83
1971,ITUMBIARA,criminal,2021,2209,2459,1344,35.34
1972,ITUMBIARA,execucao penal,2021,228,169,221,56.67
1973,ITUMBIARA,familia - interior,2021,1700,1634,1239,43.13
1974,ITUMBIARA,fazenda publica mista,2021,896,1818,849,31.83
1975,ITUMBIARA,infancia e juventude civel,2021,90,105,53,33.54
1976,ITUMBIARA,infancia e juventude infracional,2021,148,164,115,41.22
1977,ITUMBIARA,juizado especial civel e criminal,2021,3723,5009,1532,23.42
1978,ITUMBIARA,juizado especial fazenda publica,2021,469,162,441,73.13
1979,ITUMBIARA,preprocessual,2021,83,68,23,25.27
1980,JANDAIA,civel,2021,414,334,362,52.01
1981,JANDAIA,criminal,2021,268,309,222,41.81
1982,JANDAIA,execucao penal,2021,44,14,44,75.86
1983,JANDAIA,familia - interior,2021,213,173,169,49.42
1984,JANDAIA,fazenda publica mista,2021,342,237,336,58.64
1985,JANDAIA,infancia e juventude civel,2021,2,6,1,14.29
1986,JANDAIA,infancia e juventude infracional,2021,13,33,10,23.26
1987,JANDAIA,juizado especial civel,2021,780,603,657,52.14
1988,JANDAIA,juizado especial criminal,2021,108,60,103,63.19
1989,JANDAIA,juizado especial fazenda publica,2021,74,4,74,94.87
1990,JANDAIA,preprocessual,2021,163,172,34,16.5
1991,JARAGUÁ,civel,2021,351,523,298,36.3
1992,JARAGUÁ,criminal,2021,938,1050,787,42.84
1993,JARAGUÁ,execucao penal,2021,60,114,51,30.91
1994,JARAGUÁ,familia - interior,2021,435,438,354,44.7
1995,JARAGUÁ,fazenda publica mista,2021,780,1366,725,34.67
1996,JARAGUÁ,infancia e juventude civel,2021,19,52,12,18.75
1997,JARAGUÁ,infancia e juventude infracional,2021,56,137,51,27.13
1998,JARAGUÁ,juizado especial civel,2021,778,982,435,30.7
1999,JARAGUÁ,juizado especial criminal,2021,279,2182,189,7.97
2000,JARAGUÁ,juizado especial fazenda publica,2021,171,11,166,93.79
2001,JATAÍ,civel,2021,1587,3156,1298,29.14
2002,JATAÍ,criminal,2021,1377,2147,906,29.68
2003,JATAÍ,execucao penal,2021,130,213,120,36.04
2004,JATAÍ,familia - interior,2021,1208,1718,819,32.28
2005,JATAÍ,fazenda publica mista,2021,1485,1312,1130,46.27
2006,JATAÍ,infancia e juventude civel,2021,67,134,43,24.29
2007,JATAÍ,infancia e juventude infracional,2021,112,365,98,21.17
2008,JATAÍ,juizado de violencia domestica,2021,1034,793,877,52.51
2009,JATAÍ,juizado especial civel e criminal,2021,2387,3228,1380,29.95
2010,JATAÍ,juizado especial fazenda publica,2021,245,31,234,88.3
2011,JATAÍ,preprocessual,2021,621,1011,205,16.86
2012,JOVIÂNIA,civel,2021,80,117,58,33.14
2013,JOVIÂNIA,criminal,2021,92,175,49,21.88
2014,JOVIÂNIA,execucao penal,2021,23,40,17,29.82
2015,JOVIÂNIA,familia - interior,2021,127,111,86,43.65
2016,JOVIÂNIA,fazenda publica mista,2021,54,151,46,23.35
2017,JOVIÂNIA,infancia e juventude civel,2021,2,3,0,0.0
2018,JOVIÂNIA,infancia e juventude infracional,2021,4,8,3,27.27
2019,JOVIÂNIA,juizado especial civel,2021,42,61,23,27.38
2020,JOVIÂNIA,juizado especial criminal,2021,41,79,21,21.0
2021,JOVIÂNIA,juizado especial fazenda publica,2021,28,7,25,78.12
2022,JUSSARA,civel,2021,301,434,249,36.46
2023,JUSSARA,criminal,2021,429,691,311,31.04
2024,JUSSARA,execucao penal,2021,65,19,61,76.25
2025,JUSSARA,familia - interior,2021,285,395,177,30.94
2026,JUSSARA,fazenda publica mista,2021,383,839,324,27.86
2027,JUSSARA,infancia e juventude civel,2021,24,29,17,36.96
2028,JUSSARA,infancia e juventude infracional,2021,28,79,24,23.3
2029,JUSSARA,juizado especial civel,2021,451,635,429,40.32
2030,JUSSARA,juizado especial criminal,2021,136,229,97,29.75
2031,JUSSARA,juizado especial fazenda publica,2021,54,28,48,63.16
2032,JUSSARA,preprocessual,2021,4,0,4,100.0
2033,LEOPOLDO DE BULHÕES,civel,2021,145,183,128,41.16
2034,LEOPOLDO DE BULHÕES,criminal,2021,201,366,132,26.51
2035,LEOPOLDO DE BULHÕES,execucao penal,2021,14,13,13,50.0
2036,LEOPOLDO DE BULHÕES,familia - interior,2021,139,165,123,42.71
2037,LEOPOLDO DE BULHÕES,fazenda publica mista,2021,37,68,34,33.33
2038,LEOPOLDO DE BULHÕES,infancia e juventude civel,2021,9,10,6,37.5
2039,LEOPOLDO DE BULHÕES,infancia e juventude infracional,2021,10,28,10,26.32
2040,LEOPOLDO DE BULHÕES,juizado especial civel,2021,80,72,77,51.68
2041,LEOPOLDO DE BULHÕES,juizado especial criminal,2021,142,51,136,72.73
2042,LEOPOLDO DE BULHÕES,juizado especial fazenda publica,2021,21,3,19,86.36
2043,LUZIÂNIA,civel,2021,2164,2216,1885,45.96
2044,LUZIÂNIA,criminal,2021,1206,2323,856,26.93
2045,LUZIÂNIA,execucao penal,2021,204,500,193,27.85
2046,LUZIÂNIA,fazenda publica mista,2021,6029,2318,5075,68.65
2047,LUZIÂNIA,infancia e juventude civel,2021,348,243,295,54.83
2048,LUZIÂNIA,infancia e juventude infracional,2021,225,428,138,24.38
2049,LUZIÂNIA,juizado de violencia domestica,2021,2284,1670,1273,43.26
2050,LUZIÂNIA,juizado especial civel,2021,1898,1816,1181,39.41
2051,LUZIÂNIA,juizado especial criminal,2021,1423,2058,1017,33.07
2052,LUZIÂNIA,juizado especial fazenda publica,2021,669,52,640,92.49
2053,LUZIÂNIA,preprocessual,2021,529,540,286,34.62
2054,LUZIÂNIA,upj familia interior,2021,1598,1281,1267,49.73
2055,MARA ROSA,civel,2021,138,140,114,44.88
2056,MARA ROSA,criminal,2021,228,264,129,32.82
2057,MARA ROSA,execucao penal,2021,34,40,34,45.95
2058,MARA ROSA,familia - interior,2021,149,207,96,31.68
2059,MARA ROSA,fazenda publica mista,2021,73,305,63,17.12
2060,MARA ROSA,infancia e juventude civel,2021,8,3,7,70.0
2061,MARA ROSA,infancia e juventude infracional,2021,5,4,5,55.56
2062,MARA ROSA,juizado especial civel,2021,161,208,156,42.86
2063,MARA ROSA,juizado especial criminal,2021,98,57,84,59.57
2064,MARA ROSA,juizado especial fazenda publica,2021,21,1,21,95.45
2065,MAURILÂNDIA,civel,2021,243,1043,191,15.48
2066,MAURILÂNDIA,criminal,2021,252,386,151,28.12
2067,MAURILÂNDIA,execucao penal,2021,45,26,43,62.32
2068,MAURILÂNDIA,familia - interior,2021,258,417,148,26.19
2069,MAURILÂNDIA,fazenda publica mista,2021,245,940,200,17.54
2070,MAURILÂNDIA,infancia e juventude civel,2021,9,20,7,25.93
2071,MAURILÂNDIA,infancia e juventude infracional,2021,24,17,15,46.88
2072,MAURILÂNDIA,juizado especial civel,2021,229,451,158,25.94
2073,MAURILÂNDIA,juizado especial criminal,2021,84,136,48,26.09
2074,MAURILÂNDIA,juizado especial fazenda publica,2021,49,12,39,76.47
2075,MINAÇU,civel,2021,275,744,237,24.16
2076,MINAÇU,criminal,2021,546,607,369,37.81
2077,MINAÇU,execucao penal,2021,30,4,30,88.24
2078,MINAÇU,familia - interior,2021,336,415,189,31.29
2079,MINAÇU,fazenda publica mista,2021,1322,2010,1255,38.44
2080,MINAÇU,infancia e juventude civel,2021,15,25,9,26.47
2081,MINAÇU,infancia e juventude infracional,2021,22,68,12,15.0
2082,MINAÇU,juizado especial civel,2021,509,418,425,50.42
2083,MINAÇU,juizado especial criminal,2021,98,91,84,48.0
2084,MINAÇU,juizado especial fazenda publica,2021,58,14,55,79.71
2085,MINEIROS,civel,2021,969,1260,903,41.75
2086,MINEIROS,criminal,2021,1372,1488,1141,43.4
2087,MINEIROS,execucao penal,2021,34,59,34,36.56
2088,MINEIROS,familia - interior,2021,837,808,753,48.24
2089,MINEIROS,fazenda publica mista,2021,810,1329,749,36.04
2090,MINEIROS,infancia e juventude civel,2021,93,170,66,27.97
2091,MINEIROS,infancia e juventude infracional,2021,86,94,62,39.74
2092,MINEIROS,juizado especial civel,2021,1906,1025,1772,63.35
2093,MINEIROS,juizado especial criminal,2021,562,1251,409,24.64
2094,MINEIROS,juizado especial fazenda publica,2021,112,43,104,70.75
2095,MINEIROS,preprocessual,2021,261,180,187,50.95
2096,MONTES CLAROS DE GOIÁS,civel,2021,102,136,83,37.9
2097,MONTES CLAROS DE GOIÁS,criminal,2021,107,212,79,27.15
2098,MONTES CLAROS DE GOIÁS,execucao penal,2021,18,16,17,51.52
2099,MONTES CLAROS DE GOIÁS,familia - interior,2021,123,110,104,48.6
2100,MONTES CLAROS DE GOIÁS,fazenda publica mista,2021,135,321,108,25.17
2101,MONTES CLAROS DE GOIÁS,infancia e juventude infracional,2021,8,14,7,33.33
2102,MONTES CLAROS DE GOIÁS,juizado especial civel,2021,86,135,78,36.62
2103,MONTES CLAROS DE GOIÁS,juizado especial criminal,2021,23,31,17,35.42
2104,MONTES CLAROS DE GOIÁS,juizado especial fazenda publica,2021,33,2,32,94.12
2105,MONTIVIDIU,civel,2021,125,146,114,43.85
2106,MONTIVIDIU,criminal,2021,142,108,134,55.37
2107,MONTIVIDIU,execucao penal,2021,4,16,4,20.0
2108,MONTIVIDIU,familia - interior,2021,149,124,119,48.97
2109,MONTIVIDIU,fazenda publica mista,2021,286,59,285,82.85
2110,MONTIVIDIU,infancia e juventude civel,2021,18,14,11,44.0
2111,MONTIVIDIU,infancia e juventude infracional,2021,10,16,9,36.0
2112,MONTIVIDIU,juizado especial civel,2021,105,114,90,44.12
2113,MONTIVIDIU,juizado especial criminal,2021,63,7,63,90.0
2114,MONTIVIDIU,juizado especial fazenda publica,2021,15,0,15,100.0
2115,MORRINHOS,civel,2021,648,608,524,46.29
2116,MORRINHOS,criminal,2021,1065,1220,516,29.72
2117,MORRINHOS,execucao penal,2021,139,54,132,70.97
2118,MORRINHOS,familia - interior,2021,765,830,482,36.74
2119,MORRINHOS,fazenda publica mista,2021,541,864,512,37.21
2120,MORRINHOS,infancia e juventude civel,2021,39,45,25,35.71
2121,MORRINHOS,infancia e juventude infracional,2021,65,145,50,25.64
2122,MORRINHOS,juizado especial civel,2021,835,869,485,35.82
2123,MORRINHOS,juizado especial criminal,2021,365,424,196,31.61
2124,MORRINHOS,juizado especial fazenda publica,2021,127,37,109,74.66
2125,MOSSÂMEDES,civel,2021,61,78,54,40.91
2126,MOSSÂMEDES,criminal,2021,70,114,37,24.5
2127,MOSSÂMEDES,execucao penal,2021,8,16,8,33.33
2128,MOSSÂMEDES,familia - interior,2021,100,122,61,33.33
2129,MOSSÂMEDES,fazenda publica mista,2021,114,206,105,33.76
2130,MOSSÂMEDES,infancia e juventude civel,2021,4,1,4,80.0
2131,MOSSÂMEDES,infancia e juventude infracional,2021,1,2,1,33.33
2132,MOSSÂMEDES,juizado especial civel,2021,258,234,157,40.15
2133,MOSSÂMEDES,juizado especial criminal,2021,31,17,22,56.41
2134,MOSSÂMEDES,juizado especial fazenda publica,2021,50,17,44,72.13
2135,MOZARLÂNDIA,civel,2021,220,198,191,49.1
2136,MOZARLÂNDIA,criminal,2021,299,473,211,30.85
2137,MOZARLÂNDIA,execucao penal,2021,34,15,34,69.39
2138,MOZARLÂNDIA,familia - interior,2021,233,397,142,26.35
2139,MOZARLÂNDIA,fazenda publica mista,2021,498,661,478,41.97
2140,MOZARLÂNDIA,infancia e juventude civel,2021,21,19,12,38.71
2141,MOZARLÂNDIA,infancia e juventude infracional,2021,33,63,30,32.26
2142,MOZARLÂNDIA,juizado especial civel,2021,344,444,255,36.48
2143,MOZARLÂNDIA,juizado especial criminal,2021,112,130,96,42.48
2144,MOZARLÂNDIA,juizado especial fazenda publica,2021,41,5,38,88.37
2145,MOZARLÂNDIA,preprocessual,2021,57,57,14,19.72
2146,NAZÁRIO,civel,2021,172,226,158,41.15
2147,NAZÁRIO,criminal,2021,156,183,130,41.53
2148,NAZÁRIO,execucao penal,2021,13,21,13,38.24
2149,NAZÁRIO,familia - interior,2021,198,144,162,52.94
2150,NAZÁRIO,fazenda publica mista,2021,202,366,193,34.53
2151,NAZÁRIO,infancia e juventude civel,2021,5,6,3,33.33
2152,NAZÁRIO,infancia e juventude infracional,2021,3,27,3,10.0
2153,NAZÁRIO,juizado especial civel,2021,162,215,151,41.26
2154,NAZÁRIO,juizado especial criminal,2021,55,66,42,38.89
2155,NAZÁRIO,juizado especial fazenda publica,2021,61,23,61,72.62
2156,NERÓPOLIS,civel,2021,383,435,340,43.87
2157,NERÓPOLIS,criminal,2021,467,559,282,33.53
2158,NERÓPOLIS,execucao penal,2021,48,33,47,58.75
2159,NERÓPOLIS,familia - interior,2021,369,659,316,32.41
2160,NERÓPOLIS,fazenda publica mista,2021,118,536,77,12.56
2161,NERÓPOLIS,infancia e juventude civel,2021,19,67,17,20.24
2162,NERÓPOLIS,infancia e juventude infracional,2021,17,115,14,10.85
2163,NERÓPOLIS,juizado especial civel,2021,349,406,309,43.22
2164,NERÓPOLIS,juizado especial criminal,2021,230,166,212,56.08
2165,NERÓPOLIS,juizado especial fazenda publica,2021,201,28,189,87.1
2166,NIQUELÂNDIA,civel,2021,522,698,420,37.57
2167,NIQUELÂNDIA,criminal,2021,470,400,391,49.43
2168,NIQUELÂNDIA,execucao penal,2021,36,27,34,55.74
2169,NIQUELÂNDIA,familia - interior,2021,367,369,293,44.26
2170,NIQUELÂNDIA,fazenda publica mista,2021,1225,1097,1171,51.63
2171,NIQUELÂNDIA,infancia e juventude civel,2021,26,33,14,29.79
2172,NIQUELÂNDIA,infancia e juventude infracional,2021,43,76,39,33.91
2173,NIQUELÂNDIA,juizado especial civel,2021,497,1138,324,22.16
2174,NIQUELÂNDIA,juizado especial criminal,2021,177,308,139,31.1
2175,NIQUELÂNDIA,juizado especial fazenda publica,2021,86,8,81,91.01
2176,NOVA CRIXÁS,civel,2021,500,138,463,77.04
2177,NOVA CRIXÁS,criminal,2021,292,309,198,39.05
2178,NOVA CRIXÁS,execucao penal,2021,8,46,8,14.81
2179,NOVA CRIXÁS,familia - interior,2021,185,132,148,52.86
2180,NOVA CRIXÁS,fazenda publica mista,2021,588,746,554,42.62
2181,NOVA CRIXÁS,infancia e juventude civel,2021,9,7,7,50.0
2182,NOVA CRIXÁS,infancia e juventude infracional,2021,17,14,14,50.0
2183,NOVA CRIXÁS,juizado especial civel,2021,178,141,161,53.31
2184,NOVA CRIXÁS,juizado especial criminal,2021,84,65,71,52.21
2185,NOVA CRIXÁS,juizado especial fazenda publica,2021,36,2,35,94.59
2186,NOVO GAMA,civel,2021,649,627,572,47.71
2187,NOVO GAMA,criminal,2021,1073,923,880,48.81
2188,NOVO GAMA,execucao penal,2021,61,119,56,32.0
2189,NOVO GAMA,familia - interior,2021,510,327,432,56.92
2190,NOVO GAMA,fazenda publica mista,2021,126,502,97,16.19
2191,NOVO GAMA,infancia e juventude civel,2021,33,43,22,33.85
2192,NOVO GAMA,infancia e juventude infracional,2021,65,155,42,21.32
2193,NOVO GAMA,juizado especial civel,2021,622,843,401,32.23
2194,NOVO GAMA,juizado especial criminal,2021,283,264,228,46.34
2195,NOVO GAMA,juizado especial fazenda publica,2021,59,7,55,88.71
2196,NOVO GAMA,preprocessual,2021,679,651,96,12.85
2197,ORIZONA,civel,2021,182,294,155,34.52
2198,ORIZONA,criminal,2021,99,129,71,35.5
2199,ORIZONA,execucao penal,2021,37,24,34,58.62
2200,ORIZONA,familia - interior,2021,176,262,131,33.33
2201,ORIZONA,fazenda publica mista,2021,195,198,189,48.84
2202,ORIZONA,infancia e juventude civel,2021,14,28,9,24.32
2203,ORIZONA,infancia e juventude infracional,2021,14,64,5,7.25
2204,ORIZONA,juizado especial civel,2021,193,252,151,37.47
2205,ORIZONA,juizado especial criminal,2021,28,69,21,23.33
2206,ORIZONA,juizado especial fazenda publica,2021,37,4,36,90.0
2207,ORIZONA,preprocessual,2021,40,28,13,31.71
2208,PADRE BERNARDO,civel,2021,181,301,129,30.0
2209,PADRE BERNARDO,criminal,2021,664,901,412,31.38
2210,PADRE BERNARDO,execucao penal,2021,51,119,41,25.62
2211,PADRE BERNARDO,familia - interior,2021,284,515,194,27.36
2212,PADRE BERNARDO,fazenda publica mista,2021,106,644,89,12.14
2213,PADRE BERNARDO,infancia e juventude civel,2021,5,21,3,12.5
2214,PADRE BERNARDO,infancia e juventude infracional,2021,30,131,26,16.56
2215,PADRE BERNARDO,juizado especial civel,2021,112,162,89,35.46
2216,PADRE BERNARDO,juizado especial criminal,2021,227,125,203,61.89
2217,PADRE BERNARDO,juizado especial fazenda publica,2021,129,11,124,91.85
2218,PADRE BERNARDO,preprocessual,2021,70,20,51,71.83
2219,PALMEIRAS DE GOIÁS,civel,2021,450,473,415,46.73
2220,PALMEIRAS DE GOIÁS,criminal,2021,441,505,325,39.16
2221,PALMEIRAS DE GOIÁS,execucao penal,2021,34,45,31,40.79
2222,PALMEIRAS DE GOIÁS,familia - interior,2021,490,300,455,60.26
2223,PALMEIRAS DE GOIÁS,fazenda publica mista,2021,612,503,584,53.73
2224,PALMEIRAS DE GOIÁS,infancia e juventude civel,2021,8,5,8,61.54
2225,PALMEIRAS DE GOIÁS,infancia e juventude infracional,2021,11,10,10,50.0
2226,PALMEIRAS DE GOIÁS,juizado especial civel e criminal,2021,555,620,401,39.28
2227,PALMEIRAS DE GOIÁS,juizado especial fazenda publica,2021,173,7,172,96.09
2228,PANAMÁ,civel,2021,40,44,29,39.73
2229,PANAMÁ,criminal,2021,36,59,29,32.95
2230,PANAMÁ,familia - interior,2021,51,78,36,31.58
2231,PANAMÁ,fazenda publica mista,2021,4,80,3,3.61
2232,PANAMÁ,infancia e juventude infracional,2021,11,7,11,61.11
2233,PANAMÁ,juizado especial civel,2021,34,181,19,9.5
2234,PANAMÁ,juizado especial criminal,2021,10,15,7,31.82
2235,PANAMÁ,juizado especial fazenda publica,2021,6,0,6,100.0
2236,PARANAIGUARA,civel,2021,110,105,91,46.43
