comarca,nome_area_acao,ano_ref,Distribuidos_ano,Baixados_ano,Pendentes_ano,Taxa_Cong_anual (%)
ABADIÂNIA,civel,2021,153,158,137,46.44
ABADIÂNIA,criminal,2021,281,248,217,46.67
ABADIÂNIA,execucao penal,2021,21,12,20,62.5
ABADIÂNIA,familia - interior,2021,200,192,162,45.76
ABADIÂNIA,fazenda publica mista,2021,818,246,809,76.68
ABADIÂNIA,infancia e juventude civel,2021,14,17,9,34.62
ABADIÂNIA,infancia e juventude infracional,2021,23,29,18,38.3
ABADIÂNIA,juizado especial civel,2021,345,404,256,38.79
ABADIÂNIA,juizado especial criminal,2021,254,198,211,51.59
ABADIÂNIA,juizado especial fazenda publica,2021,43,8,39,82.98
ACREÚNA,civel,2021,311,602,229,27.56
ACREÚNA,criminal,2021,331,447,198,30.7
ACREÚNA,execucao penal,2021,63,42,59,58.42
ACREÚNA,familia - interior,2021,233,224,161,41.82
ACREÚNA,fazenda publica mista,2021,423,740,328,30.71
ACREÚNA,infancia e juventude civel,2021,18,29,7,19.44
ACREÚNA,infancia e juventude infracional,2021,9,13,7,35.0
ACREÚNA,juizado especial civel,2021,288,466,174,27.19
ACREÚNA,juizado especial criminal,2021,78,78,60,43.48
ACREÚNA,juizado especial fazenda publica,2021,105,41,85,67.46
ALEXÂNIA,civel,2021,322,249,274,52.39
ALEXÂNIA,criminal,2021,470,515,272,34.56
ALEXÂNIA,execucao penal,2021,40,49,37,43.02
ALEXÂNIA,familia - interior,2021,395,487,273,35.92
ALEXÂNIA,fazenda publica mista,2021,360,370,342,48.03
ALEXÂNIA,infancia e juventude civel,2021,26,59,10,14.49
ALEXÂNIA,infancia e juventude infracional,2021,35,62,25,28.74
ALEXÂNIA,juizado especial civel,2021,701,399,586,59.49
ALEXÂNIA,juizado especial criminal,2021,166,126,161,56.1
ALEXÂNIA,juizado especial fazenda publica,2021,65,9,63,87.5
ALEXÂNIA,preprocessual,2021,5,8,1,11.11
ALTO PARAÍSO DE GOIÁS,civel,2021,175,237,166,41.19
ALTO PARAÍSO DE GOIÁS,criminal,2021,488,364,398,52.23
ALTO PARAÍSO DE GOIÁS,execucao penal,2021,38,4,38,90.48
ALTO PARAÍSO DE GOIÁS,familia - interior,2021,149,175,118,40.27
ALTO PARAÍSO DE GOIÁS,fazenda publica mista,2021,233,345,230,40.0
ALTO PARAÍSO DE GOIÁS,infancia e juventude civel,2021,21,9,15,62.5
ALTO PARAÍSO DE GOIÁS,infancia e juventude infracional,2021,14,13,14,51.85
ALTO PARAÍSO DE GOIÁS,juizado especial civel,2021,89,153,83,35.17
ALTO PARAÍSO DE GOIÁS,juizado especial criminal,2021,120,86,119,58.05
ALTO PARAÍSO DE GOIÁS,juizado especial fazenda publica,2021,48,0,48,100.0
ALVORADA DO NORTE,civel,2021,162,257,136,34.61
ALVORADA DO NORTE,criminal,2021,612,973,426,30.45
ALVORADA DO NORTE,execucao penal,2021,29,7,29,80.56
ALVORADA DO NORTE,familia - interior,2021,227,305,172,36.06
ALVORADA DO NORTE,fazenda publica mista,2021,147,326,140,30.04
ALVORADA DO NORTE,infancia e juventude civel,2021,11,23,8,25.81
ALVORADA DO NORTE,infancia e juventude infracional,2021,14,34,12,26.09
ALVORADA DO NORTE,juizado especial civel,2021,140,284,123,30.22
ALVORADA DO NORTE,juizado especial criminal,2021,92,119,85,41.67
ALVORADA DO NORTE,juizado especial fazenda publica,2021,26,0,26,100.0
ANICUNS,civel,2021,321,590,194,24.74
ANICUNS,criminal,2021,255,582,189,24.51
ANICUNS,execucao penal,2021,31,36,31,46.27
ANICUNS,familia - interior,2021,292,383,178,31.73
ANICUNS,fazenda publica mista,2021,419,1094,352,24.34
ANICUNS,infancia e juventude civel,2021,8,7,6,46.15
ANICUNS,infancia e juventude infracional,2021,26,34,12,26.09
ANICUNS,juizado especial civel,2021,593,1058,236,18.24
ANICUNS,juizado especial criminal,2021,103,149,40,21.16
ANICUNS,juizado especial fazenda publica,2021,181,45,168,78.87
ANICUNS,preprocessual,2021,93,136,37,21.39
ANÁPOLIS,civel,2021,5546,6444,4908,43.23
ANÁPOLIS,criminal,2021,4588,3560,3246,47.69
ANÁPOLIS,execucao de pena alternativa,2021,1,16,0,0.0
ANÁPOLIS,execucao penal,2021,364,263,353,57.31
ANÁPOLIS,familia - interior,2021,4541,5184,3150,37.8
ANÁPOLIS,fazenda publica estadual interior,2021,570,761,530,41.05
ANÁPOLIS,fazenda publica municipal - execucao fiscal,2021,10663,56128,10641,15.94
ANÁPOLIS,fazenda publica municipal interior,2021,833,750,661,46.85
ANÁPOLIS,infancia e juventude civel,2021,218,315,177,35.98
ANÁPOLIS,infancia e juventude infracional,2021,420,373,333,47.17
ANÁPOLIS,juizado de violencia domestica,2021,1634,1334,1331,49.94
ANÁPOLIS,juizado especial civel,2021,9448,12532,6803,35.18
ANÁPOLIS,juizado especial criminal,2021,1728,4388,1304,22.91
ANÁPOLIS,juizado especial fazenda publica,2021,1349,34,1330,97.51
ANÁPOLIS,preprocessual,2021,1285,737,783,51.51
APARECIDA DE GOIÂNIA,civel,2021,9134,7046,8081,53.42
APARECIDA DE GOIÂNIA,criminal,2021,4704,6136,2541,29.28
APARECIDA DE GOIÂNIA,execucao penal,2021,372,333,263,44.13
APARECIDA DE GOIÂNIA,familia - interior,2021,5049,5260,3395,39.23
APARECIDA DE GOIÂNIA,fazenda publica estadual interior,2021,530,865,520,37.55
APARECIDA DE GOIÂNIA,fazenda publica municipal - execucao fiscal,2021,2554,26194,2511,8.75
APARECIDA DE GOIÂNIA,fazenda publica municipal interior,2021,569,786,525,40.05
APARECIDA DE GOIÂNIA,infancia e juventude civel,2021,329,608,152,20.0
APARECIDA DE GOIÂNIA,infancia e juventude infracional,2021,458,690,205,22.91
APARECIDA DE GOIÂNIA,juizado de violencia domestica,2021,1854,2194,1542,41.27
APARECIDA DE GOIÂNIA,juizado especial civel,2021,6962,8904,4753,34.8
APARECIDA DE GOIÂNIA,juizado especial criminal,2021,3508,7431,3073,29.26
APARECIDA DE GOIÂNIA,juizado especial fazenda publica,2021,1550,42,1536,97.34
APARECIDA DE GOIÂNIA,preprocessual,2021,1617,1743,459,20.84
ARAGARÇAS,civel,2021,219,281,185,39.7
ARAGARÇAS,criminal,2021,757,927,555,37.45
ARAGARÇAS,execucao penal,2021,52,22,48,68.57
ARAGARÇAS,familia - interior,2021,271,385,219,36.26
ARAGARÇAS,fazenda publica mista,2021,313,652,297,31.3
ARAGARÇAS,infancia e juventude civel,2021,12,16,10,38.46
ARAGARÇAS,infancia e juventude infracional,2021,28,16,24,60.0
ARAGARÇAS,juizado especial civel,2021,324,698,254,26.68
ARAGARÇAS,juizado especial criminal,2021,45,593,40,6.32
ARAGARÇAS,juizado especial fazenda publica,2021,130,34,114,77.03
ARAGARÇAS,preprocessual,2021,85,89,80,47.34
ARAÇU,civel,2021,85,110,74,40.22
ARAÇU,criminal,2021,145,168,114,40.43
ARAÇU,execucao penal,2021,5,11,5,31.25
ARAÇU,familia - interior,2021,102,131,70,34.83
ARAÇU,fazenda publica mista,2021,115,222,85,27.69
ARAÇU,infancia e juventude civel,2021,5,17,4,19.05
ARAÇU,infancia e juventude infracional,2021,2,8,1,11.11
ARAÇU,juizado especial civel,2021,98,117,84,41.79
ARAÇU,juizado especial criminal,2021,37,20,34,62.96
ARAÇU,juizado especial fazenda publica,2021,41,4,39,90.7
