comarca,nome_area_acao,ano_ref,Distribuidos_ano,Baixados_ano,Pendentes_ano,Taxa_Cong_anual (%)
ABADIÂNIA,civel,2020,164,192,144,42.86
ABADIÂNIA,criminal,2020,273,215,157,42.2
ABADIÂNIA,familia - interior,2020,191,202,158,43.89
ABADIÂNIA,fazenda publica mista,2020,96,133,90,40.36
ABADIÂNIA,infancia e juventude civel,2020,9,15,9,37.5
ABADIÂNIA,infancia e juventude infracional,2020,21,17,21,55.26
ABADIÂNIA,juizado especial civel,2020,429,295,354,54.55
ABADIÂNIA,juizado especial criminal,2020,174,61,160,72.4
ABADIÂNIA,juizado especial fazenda publica,2020,8,1,8,88.89
ACREÚNA,civel,2020,348,454,261,36.5
ACREÚNA,criminal,2020,417,576,221,27.73
ACREÚNA,familia - interior,2020,273,321,132,29.14
ACREÚNA,fazenda publica mista,2020,437,856,405,32.12
ACREÚNA,infancia e juventude civel,2020,18,23,14,37.84
ACREÚNA,infancia e juventude infracional,2020,10,17,6,26.09
ACREÚNA,juizado especial civel,2020,333,696,219,23.93
ACREÚNA,juizado especial criminal,2020,119,74,81,52.26
ACREÚNA,juizado especial fazenda publica,2020,45,6,40,86.96
ALEXÂNIA,civel,2020,305,233,253,52.06
ALEXÂNIA,criminal,2020,507,447,311,41.03
ALEXÂNIA,execucao penal,2020,2,323,0,0.0
ALEXÂNIA,familia - interior,2020,405,531,270,33.71
ALEXÂNIA,fazenda publica mista,2020,287,190,266,58.33
ALEXÂNIA,infancia e juventude civel,2020,10,38,8,17.39
ALEXÂNIA,infancia e juventude infracional,2020,40,78,36,31.58
ALEXÂNIA,juizado especial civel,2020,650,583,484,45.36
ALEXÂNIA,juizado especial criminal,2020,266,252,254,50.2
ALEXÂNIA,juizado especial fazenda publica,2020,17,0,17,100.0
ALTO PARAÍSO DE GOIÁS,civel,2020,239,124,220,63.95
ALTO PARAÍSO DE GOIÁS,criminal,2020,343,354,270,43.27
ALTO PARAÍSO DE GOIÁS,familia - interior,2020,175,135,131,49.25
ALTO PARAÍSO DE GOIÁS,fazenda publica mista,2020,101,755,95,11.18
ALTO PARAÍSO DE GOIÁS,infancia e juventude civel,2020,20,30,8,21.05
ALTO PARAÍSO DE GOIÁS,infancia e juventude infracional,2020,14,14,12,46.15
ALTO PARAÍSO DE GOIÁS,juizado especial civel,2020,104,87,93,51.67
ALTO PARAÍSO DE GOIÁS,juizado especial criminal,2020,120,465,106,18.56
ALTO PARAÍSO DE GOIÁS,juizado especial fazenda publica,2020,16,0,16,100.0
ALVORADA DO NORTE,civel,2020,174,195,144,42.48
ALVORADA DO NORTE,criminal,2020,431,307,300,49.42
ALVORADA DO NORTE,familia - interior,2020,198,184,147,44.41
ALVORADA DO NORTE,fazenda publica mista,2020,203,283,194,40.67
ALVORADA DO NORTE,infancia e juventude civel,2020,20,16,15,48.39
ALVORADA DO NORTE,infancia e juventude infracional,2020,20,11,16,59.26
ALVORADA DO NORTE,juizado especial civel,2020,188,147,172,53.92
ALVORADA DO NORTE,juizado especial criminal,2020,112,183,103,36.01
ALVORADA DO NORTE,juizado especial fazenda publica,2020,19,0,19,100.0
ANICUNS,civel,2020,349,452,265,36.96
ANICUNS,criminal,2020,296,283,204,41.89
ANICUNS,execucao penal,2020,1,146,0,0.0
ANICUNS,familia - interior,2020,289,376,180,32.37
ANICUNS,fazenda publica mista,2020,595,703,497,41.42
