comarca,nome_area_acao,ano_ref,Distribuidos_ano,Baixados_ano,Pendentes_ano,Taxa_Cong_anual (%)
ABADIÂNIA,civel,2025,364,260,322,55.33
ABADIÂNIA,criminal,2025,241,365,118,24.43
ABADIÂNIA,execucao penal,2025,84,40,69,63.3
ABADIÂNIA,familia - interior,2025,206,251,135,34.97
ABADIÂNIA,fazenda publica mista,2025,84,342,61,15.14
ABADIÂNIA,infancia e juventude civel,2025,13,6,10,62.5
ABADIÂNIA,infancia e juventude infracional,2025,11,13,8,38.1
ABADIÂNIA,juizado especial civel,2025,508,532,290,35.28
ABADIÂNIA,juizado especial criminal,2025,93,199,51,20.4
ABADIÂNIA,juizado especial fazenda publica,2025,28,67,24,26.37
ACREÚNA,civel,2025,643,672,490,42.17
ACREÚNA,criminal,2025,355,548,195,26.24
ACREÚNA,execucao penal,2025,129,87,123,58.57
ACREÚNA,familia - interior,2025,254,343,117,25.43
ACREÚNA,fazenda publica mista,2025,401,827,373,31.08
ACREÚNA,infancia e juventude civel,2025,22,30,13,30.23
ACREÚNA,infancia e juventude infracional,2025,33,28,23,45.1
ACREÚNA,juizado especial civel,2025,402,549,221,28.7
ACREÚNA,juizado especial criminal,2025,65,99,53,34.87
ACREÚNA,juizado especial fazenda publica,2025,50,84,31,26.96
ALEXÂNIA,civel,2025,475,598,391,39.53
ALEXÂNIA,criminal,2025,656,736,366,33.21
ALEXÂNIA,execucao penal,2025,106,126,92,42.2
ALEXÂNIA,familia - interior,2025,451,482,308,38.99
ALEXÂNIA,fazenda publica mista,2025,109,386,79,16.99
ALEXÂNIA,infancia e juventude civel,2025,21,18,17,48.57
ALEXÂNIA,infancia e juventude infracional,2025,42,41,28,40.58
ALEXÂNIA,juizado especial civel,2025,1106,1081,670,38.26
ALEXÂNIA,juizado especial criminal,2025,290,450,193,30.02
ALEXÂNIA,juizado especial fazenda publica,2025,32,93,28,23.14
ALTO PARAÍSO DE GOIÁS,civel,2025,370,337,321,48.78
ALTO PARAÍSO DE GOIÁS,criminal,2025,490,606,285,31.99
ALTO PARAÍSO DE GOIÁS,execucao penal,2025,46,43,39,47.56
ALTO PARAÍSO DE GOIÁS,familia - interior,2025,208,323,154,32.29
ALTO PARAÍSO DE GOIÁS,fazenda publica mista,2025,87,244,78,24.22
ALTO PARAÍSO DE GOIÁS,infancia e juventude civel,2025,17,30,12,28.57
