comarca,nome_area_acao,ano_ref,Distribuidos_ano,Baixados_ano,Pendentes_ano,Taxa_Cong_anual (%)
ABADIÂNIA,civel,2023,205,266,178,40.09
ABADIÂNIA,criminal,2023,246,284,146,33.95
ABADIÂNIA,execucao penal,2023,30,20,29,59.18
ABADIÂNIA,familia - interior,2023,212,282,149,34.57
ABADIÂNIA,fazenda publica mista,2023,99,505,69,12.02
ABADIÂNIA,infancia e juventude civel,2023,10,15,7,31.82
ABADIÂNIA,infancia e juventude infracional,2023,19,29,14,32.56
ABADIÂNIA,juizado especial civel,2023,415,443,267,37.61
ABADIÂNIA,juizado especial criminal,2023,174,178,115,39.25
ABADIÂNIA,juizado especial fazenda publica,2023,62,56,46,45.1
ACREÚNA,civel,2023,364,372,291,43.89
ACREÚNA,criminal,2023,340,424,196,31.61
ACREÚNA,execucao penal,2023,80,59,77,56.62
ACREÚNA,familia - interior,2023,251,265,152,36.45
ACREÚNA,fazenda publica mista,2023,421,539,388,41.86
ACREÚNA,infancia e juventude civel,2023,14,11,12,52.17
ACREÚNA,infancia e juventude infracional,2023,18,12,17,58.62
ACREÚNA,juizado especial civel,2023,393,288,273,48.66
ACREÚNA,juizado especial criminal,2023,113,46,103,69.13
ACREÚNA,juizado especial fazenda publica,2023,42,49,39,44.32
ALEXÂNIA,civel,2023,448,635,332,34.33
ALEXÂNIA,criminal,2023,583,616,265,30.08
ALEXÂNIA,execucao penal,2023,61,89,47,34.56
ALEXÂNIA,familia - interior,2023,446,651,271,29.39
ALEXÂNIA,fazenda publica mista,2023,244,716,174,19.55
ALEXÂNIA,infancia e juventude civel,2023,16,23,7,23.33
ALEXÂNIA,infancia e juventude infracional,2023,51,57,32,35.96
ALEXÂNIA,juizado especial civel,2023,1014,1213,604,33.24
ALEXÂNIA,juizado especial criminal,2023,872,666,588,46.89
ALEXÂNIA,juizado especial fazenda publica,2023,44,24,37,60.66
ALEXÂNIA,preprocessual,2023,19,16,5,23.81
ALTO PARAÍSO DE GOIÁS,civel,2023,273,241,242,50.1
ALTO PARAÍSO DE GOIÁS,criminal,2023,429,582,274,32.01
ALTO PARAÍSO DE GOIÁS,execucao penal,2023,51,67,41,37.96
ALTO PARAÍSO DE GOIÁS,familia - interior,2023,297,234,239,50.53
ALTO PARAÍSO DE GOIÁS,fazenda publica mista,2023,172,276,161,36.84
ALTO PARAÍSO DE GOIÁS,infancia e juventude civel,2023,17,18,13,41.94
ALTO PARAÍSO DE GOIÁS,infancia e juventude infracional,2023,11,23,10,30.3
ALTO PARAÍSO DE GOIÁS,juizado especial civel,2023,220,177,200,53.05
ALTO PARAÍSO DE GOIÁS,juizado especial criminal,2023,147,109,142,56.57
ALTO PARAÍSO DE GOIÁS,juizado especial fazenda publica,2023,52,24,52,68.42
ALVORADA DO NORTE,civel,2023,271,251,228,47.6
ALVORADA DO NORTE,criminal,2023,475,596,307,34.0
ALVORADA DO NORTE,execucao penal,2023,31,28,31,52.54
ALVORADA DO NORTE,familia - interior,2023,261,328,176,34.92
ALVORADA DO NORTE,fazenda publica mista,2023,292,397,255,39.11
ALVORADA DO NORTE,infancia e juventude civel,2023,24,25,19,43.18
ALVORADA DO NORTE,infancia e juventude infracional,2023,30,45,23,33.82
ALVORADA DO NORTE,juizado especial civel,2023,166,163,146,47.25
ALVORADA DO NORTE,juizado especial criminal,2023,126,85,116,57.71
ALVORADA DO NORTE,juizado especial fazenda publica,2023,71,38,71,65.14
ANICUNS,civel,2023,328,562,216,27.76
ANICUNS,criminal,2023,430,511,255,33.29
ANICUNS,execucao penal,2023,66,43,55,56.12
ANICUNS,familia - interior,2023,236,375,113,23.16
ANICUNS,fazenda publica mista,2023,518,871,443,33.71
ANICUNS,infancia e juventude civel,2023,19,26,5,16.13
ANICUNS,infancia e juventude infracional,2023,29,29,18,38.3
ANICUNS,juizado especial civel,2023,786,1125,284,20.16
ANICUNS,juizado especial criminal,2023,146,108,84,43.75
ANICUNS,juizado especial fazenda publica,2023,226,236,188,44.34
ANICUNS,preprocessual,2023,136,142,16,10.13
ANÁPOLIS,civel,2023,8495,8768,7004,44.41
ANÁPOLIS,criminal,2023,4049,7664,1921,20.04
ANÁPOLIS,execucao penal,2023,1767,896,1537,63.17
ANÁPOLIS,familia - interior,2023,5738,7049,3316,31.99
ANÁPOLIS,fazenda publica estadual interior,2023,872,1233,816,39.82
ANÁPOLIS,fazenda publica municipal - execucao fiscal,2023,18579,14445,18454,56.09
ANÁPOLIS,fazenda publica municipal interior,2023,2019,1104,1936,63.68
ANÁPOLIS,infancia e juventude civel,2023,401,620,280,31.11
ANÁPOLIS,infancia e juventude infracional,2023,285,527,180,25.46
ANÁPOLIS,juizado de violencia domestica,2023,2182,2584,943,26.74
ANÁPOLIS,juizado especial civel,2023,12645,15435,7217,31.86
ANÁPOLIS,juizado especial criminal,2023,1228,1702,889,34.31
ANÁPOLIS,juizado especial fazenda publica,2023,1809,998,1774,64.0
ANÁPOLIS,preprocessual,2023,1245,1261,398,23.99
APARECIDA DE GOIÂNIA,criminal,2023,824,1514,292,16.17
