comarca,nome_area_acao,ano_ref,Distribuidos_ano,Baixados_ano,Pendentes_ano,Taxa_Cong_anual (%)
ABADIÂNIA,civel,2022,225,204,200,49.5
ABADIÂNIA,criminal,2022,218,320,141,30.59
ABADIÂNIA,execucao penal,2022,22,18,22,55.0
ABADIÂNIA,familia - interior,2022,197,252,153,37.78
ABADIÂNIA,fazenda publica mista,2022,86,442,65,12.82
ABADIÂNIA,infancia e juventude civel,2022,8,18,5,21.74
ABADIÂNIA,infancia e juventude infracional,2022,15,24,13,35.14
ABADIÂNIA,juizado especial civel,2022,279,462,181,28.15
ABADIÂNIA,juizado especial criminal,2022,130,266,95,26.32
ABADIÂNIA,juizado especial fazenda publica,2022,75,32,66,67.35
ACREÚNA,civel,2022,341,434,250,36.55
ACREÚNA,criminal,2022,302,378,178,32.01
ACREÚNA,execucao penal,2022,77,33,75,69.44
ACREÚNA,familia - interior,2022,204,245,123,33.42
ACREÚNA,fazenda publica mista,2022,427,655,378,36.59
ACREÚNA,infancia e juventude civel,2022,12,11,10,47.62
ACREÚNA,infancia e juventude infracional,2022,15,21,10,32.26
ACREÚNA,juizado especial civel,2022,249,324,159,32.92
ACREÚNA,juizado especial criminal,2022,61,83,48,36.64
ACREÚNA,juizado especial fazenda publica,2022,48,41,40,49.38
ALEXÂNIA,civel,2022,367,301,308,50.57
ALEXÂNIA,criminal,2022,487,470,275,36.91
ALEXÂNIA,execucao penal,2022,36,37,31,45.59
ALEXÂNIA,familia - interior,2022,385,434,283,39.47
ALEXÂNIA,fazenda publica mista,2022,218,579,178,23.51
ALEXÂNIA,infancia e juventude civel,2022,24,36,16,30.77
ALEXÂNIA,infancia e juventude infracional,2022,16,41,14,25.45
ALEXÂNIA,juizado especial civel,2022,560,607,436,41.8
ALEXÂNIA,juizado especial criminal,2022,223,155,217,58.33
ALEXÂNIA,juizado especial fazenda publica,2022,79,4,78,95.12
ALEXÂNIA,preprocessual,2022,4,3,2,40.0
ALTO PARAÍSO DE GOIÁS,civel,2022,216,309,197,38.93
ALTO PARAÍSO DE GOIÁS,criminal,2022,430,678,314,31.65
ALTO PARAÍSO DE GOIÁS,execucao penal,2022,37,5,37,88.1
ALTO PARAÍSO DE GOIÁS,familia - interior,2022,221,160,184,53.49
ALTO PARAÍSO DE GOIÁS,fazenda publica mista,2022,250,669,233,25.83
ALTO PARAÍSO DE GOIÁS,infancia e juventude civel,2022,17,27,9,25.0
ALTO PARAÍSO DE GOIÁS,infancia e juventude infracional,2022,16,37,12,24.49
ALTO PARAÍSO DE GOIÁS,juizado especial civel,2022,168,187,153,45.0
ALTO PARAÍSO DE GOIÁS,juizado especial criminal,2022,216,227,180,44.23
ALTO PARAÍSO DE GOIÁS,juizado especial fazenda publica,2022,91,7,90,92.78
ALVORADA DO NORTE,civel,2022,249,203,210,50.85
ALVORADA DO NORTE,criminal,2022,450,661,281,29.83
ALVORADA DO NORTE,execucao penal,2022,26,3,26,89.66
ALVORADA DO NORTE,familia - interior,2022,272,402,166,29.23
ALVORADA DO NORTE,fazenda publica mista,2022,239,637,218,25.5
ALVORADA DO NORTE,infancia e juventude civel,2022,45,47,14,22.95
ALVORADA DO NORTE,infancia e juventude infracional,2022,9,32,9,21.95
ALVORADA DO NORTE,juizado especial civel,2022,142,290,115,28.4
ALVORADA DO NORTE,juizado especial criminal,2022,101,241,67,21.75
ALVORADA DO NORTE,juizado especial fazenda publica,2022,178,3,177,98.33
ANICUNS,civel,2022,301,439,232,34.58
ANICUNS,criminal,2022,336,503,212,29.65
ANICUNS,execucao penal,2022,62,42,59,58.42
ANICUNS,familia - interior,2022,306,580,160,21.62
ANICUNS,fazenda publica mista,2022,618,968,524,35.12
ANICUNS,infancia e juventude civel,2022,20,15,11,42.31
ANICUNS,infancia e juventude infracional,2022,16,26,15,36.59
ANICUNS,juizado especial civel,2022,956,876,469,34.87
ANICUNS,juizado especial criminal,2022,92,114,43,27.39
ANICUNS,juizado especial fazenda publica,2022,180,117,171,59.38
ANICUNS,preprocessual,2022,136,174,10,5.43
ANÁPOLIS,civel,2022,7168,7257,6194,46.05
ANÁPOLIS,criminal,2022,4680,6229,2778,30.84
ANÁPOLIS,execucao de pena alternativa,2022,2,2,0,0.0
ANÁPOLIS,execucao penal,2022,1317,213,1307,85.99
ANÁPOLIS,familia - interior,2022,4967,5496,3181,36.66
ANÁPOLIS,fazenda publica estadual interior,2022,674,1027,635,38.21
ANÁPOLIS,fazenda publica municipal - execucao fiscal,2022,9608,12290,9561,43.76
ANÁPOLIS,fazenda publica municipal interior,2022,564,1041,481,31.6
ANÁPOLIS,infancia e juventude civel,2022,285,464,221,32.26
ANÁPOLIS,infancia e juventude infracional,2022,330,763,197,20.52
ANÁPOLIS,juizado de violencia domestica,2022,1812,2346,903,27.79
ANÁPOLIS,juizado especial civel,2022,10995,11627,7352,38.74
ANÁPOLIS,juizado especial criminal,2022,1416,3375,1003,22.91
ANÁPOLIS,juizado especial fazenda publica,2022,1718,127,1690,93.01
ANÁPOLIS,preprocessual,2022,1310,1503,433,22.37
APARECIDA DE GOIÂNIA,criminal,2022,765,1602,252,13.59
APARECIDA DE GOIÂNIA,execucao penal,2022,555,422,481,53.27
APARECIDA DE GOIÂNIA,fazenda publica estadual interior,2022,597,836,567,40.41
APARECIDA DE GOIÂNIA,fazenda publica municipal - execucao fiscal,2022,7636,5836,6772,53.71
APARECIDA DE GOIÂNIA,fazenda publica municipal interior,2022,740,534,708,57.0
APARECIDA DE GOIÂNIA,infancia e juventude civel,2022,398,531,224,29.67
APARECIDA DE GOIÂNIA,infancia e juventude infracional,2022,349,542,145,21.11
APARECIDA DE GOIÂNIA,juizado de violencia domestica,2022,2292,1794,1837,50.59
APARECIDA DE GOIÂNIA,juizado especial civel,2022,9033,6094,7305,54.52
APARECIDA DE GOIÂNIA,juizado especial criminal,2022,1463,2997,1032,25.61
APARECIDA DE GOIÂNIA,juizado especial fazenda publica,2022,1979,175,1956,91.79
APARECIDA DE GOIÂNIA,preprocessual,2022,1832,1875,470,20.04
APARECIDA DE GOIÂNIA,upj civel,2022,10823,6776,9891,59.34
APARECIDA DE GOIÂNIA,upj criminal,2022,4041,6011,1929,24.29
APARECIDA DE GOIÂNIA,upj familia interior,2022,5828,5986,3850,39.14
ARAGARÇAS,civel,2022,293,232,267,53.51
ARAGARÇAS,criminal,2022,765,1240,440,26.19
ARAGARÇAS,execucao penal,2022,74,77,71,47.97
ARAGARÇAS,familia - interior,2022,251,281,206,42.3
ARAGARÇAS,fazenda publica mista,2022,603,938,579,38.17
ARAGARÇAS,infancia e juventude civel,2022,31,31,25,44.64
ARAGARÇAS,infancia e juventude infracional,2022,30,12,25,67.57
ARAGARÇAS,juizado especial civel,2022,195,384,163,29.8
ARAGARÇAS,juizado especial criminal,2022,73,167,48,22.33
